delta,errors_joint,errors_amatch,error_rate_joint,error_rate_amatch,auroc_joint,auroc_amatch,joint_weight_index,joint_lambda_index,amatch_weight_index,amatch_lambda_index,r
-11.0,1219,1208,0.297607421875,0.294921875,0.7453092874486588,0.7231065177672725,4,2,5,2,0
0.0,1208,1208,0.294921875,0.294921875,0.7160714030158328,0.7231065177672725,2,3,5,2,1
0.0,1208,1208,0.294921875,0.294921875,0.7328631330887719,0.7231065177672725,6,2,5,2,2
0.0,1208,1208,0.294921875,0.294921875,0.7520095216742119,0.7231065177672725,2,2,5,2,3
-1.0,1209,1208,0.295166015625,0.294921875,0.7160389644463738,0.7231065177672725,2,3,5,2,4
0.0,1208,1208,0.294921875,0.294921875,0.7163051515310528,0.7231065177672725,2,3,5,2,5
0.0,1208,1208,0.294921875,0.294921875,0.7470199449498395,0.7231065177672725,4,2,5,2,6
0.0,1208,1208,0.294921875,0.294921875,0.7163566716119584,0.7231065177672725,2,3,5,2,7
0.0,1208,1208,0.294921875,0.294921875,0.7161725350264995,0.7231065177672725,2,3,5,2,8
-12.0,1220,1208,0.2978515625,0.294921875,0.7495864082393967,0.7231065177672725,2,2,5,2,9
0.0,1208,1208,0.294921875,0.294921875,0.7167867211761844,0.7231065177672725,2,3,5,2,10
0.0,1208,1208,0.294921875,0.294921875,0.7517705257433442,0.7231065177672725,2,2,5,2,11
0.0,1208,1208,0.294921875,0.294921875,0.7161701498375687,0.7231065177672725,2,3,5,2,12
0.0,1208,1208,0.294921875,0.294921875,0.7464341425484313,0.7231065177672725,4,2,5,2,13
-44.0,1252,1208,0.3056640625,0.294921875,0.759789769447638,0.7231065177672725,4,1,5,2,14
-3.0,1211,1208,0.295654296875,0.294921875,0.7518506680914194,0.7231065177672725,2,2,5,2,15
0.0,1208,1208,0.294921875,0.294921875,0.7166500498504487,0.7231065177672725,2,3,5,2,16
0.0,1208,1208,0.294921875,0.294921875,0.7168484975694924,0.7231065177672725,2,3,5,2,17
-4.0,1212,1208,0.2958984375,0.294921875,0.7520061824097086,0.7231065177672725,2,2,5,2,18
0.0,1208,1208,0.294921875,0.294921875,0.7161868461600844,0.7231065177672725,2,3,5,2,19
0.0,1208,1208,0.294921875,0.294921875,0.7165002599855934,0.7231065177672725,2,3,5,2,20
0.0,1208,1208,0.294921875,0.294921875,0.7162865470573925,0.7231065177672725,2,3,5,2,21
1.0,1207,1208,0.294677734375,0.294921875,0.7161515453639083,0.7231065177672725,2,3,5,2,22
-20.0,1228,1208,0.2998046875,0.294921875,0.749868099052126,0.7231065177672725,2,2,5,2,23
0.0,1208,1208,0.294921875,0.294921875,0.7510666564898606,0.7231065177672725,2,2,5,2,24
0.0,1208,1208,0.294921875,0.294921875,0.7161722965076065,0.7231065177672725,2,3,5,2,25
0.0,1208,1208,0.294921875,0.294921875,0.7459807181326834,0.7231065177672725,4,2,5,2,26
0.0,1208,1208,0.294921875,0.294921875,0.7163452227050906,0.7231065177672725,2,3,5,2,27
0.0,1208,1208,0.294921875,0.294921875,0.7166252438855681,0.7231065177672725,2,3,5,2,28
0.0,1208,1208,0.294921875,0.294921875,0.7163664508865748,0.7231065177672725,2,3,5,2,29
0.0,1208,1208,0.294921875,0.294921875,0.716829416058046,0.7231065177672725,2,3,5,2,30
0.0,1208,1208,0.294921875,0.294921875,0.7165200570537191,0.7231065177672725,2,3,5,2,31
0.0,1208,1208,0.294921875,0.294921875,0.7456508465035516,0.7231065177672725,4,2,5,2,32
-1.0,1209,1208,0.295166015625,0.294921875,0.746035577478092,0.7231065177672725,4,2,5,2,33
0.0,1208,1208,0.294921875,0.294921875,0.7159564369093676,0.7231065177672725,2,3,5,2,34
0.0,1208,1208,0.294921875,0.294921875,0.716349516045166,0.7231065177672725,2,3,5,2,35
0.0,1208,1208,0.294921875,0.294921875,0.7164713991995306,0.7231065177672725,2,3,5,2,36
-34.0,1242,1208,0.30322265625,0.294921875,0.7561568881871134,0.7231065177672725,6,1,5,2,37
0.0,1208,1208,0.294921875,0.294921875,0.7163230404480339,0.7231065177672725,2,3,5,2,38
-8.0,1216,1208,0.296875,0.294921875,0.7169734814694672,0.7231065177672725,2,3,5,2,39
0.0,1208,1208,0.294921875,0.294921875,0.7167189818105493,0.7231065177672725,2,3,5,2,40
-11.0,1219,1208,0.297607421875,0.294921875,0.7518210917486774,0.7231065177672725,2,2,5,2,41
0.0,1208,1208,0.294921875,0.294921875,0.7164916733054425,0.7231065177672725,2,3,5,2,42
0.0,1208,1208,0.294921875,0.294921875,0.7517170975112939,0.7231065177672725,2,2,5,2,43
-8.0,1216,1208,0.296875,0.294921875,0.752574811450815,0.7231065177672725,2,2,5,2,44
0.0,1208,1208,0.294921875,0.294921875,0.7165183874214676,0.7231065177672725,2,3,5,2,45
0.0,1208,1208,0.294921875,0.294921875,0.7163841012846627,0.7231065177672725,2,3,5,2,46
0.0,1208,1208,0.294921875,0.294921875,0.7165083696279582,0.7231065177672725,2,3,5,2,47
0.0,1208,1208,0.294921875,0.294921875,0.7166209505454928,0.7231065177672725,2,3,5,2,48
0.0,1208,1208,0.294921875,0.294921875,0.7157076617038836,0.7231065177672725,2,3,5,2,49
0.0,1208,1208,0.294921875,0.294921875,0.7165326985550526,0.7231065177672725,2,3,5,2,50
0.0,1208,1208,0.294921875,0.294921875,0.7460074322487085,0.7231065177672725,4,2,5,2,51
0.0,1208,1208,0.294921875,0.294921875,0.7160198829349274,0.7231065177672725,2,3,5,2,52
0.0,1208,1208,0.294921875,0.294921875,0.716060192627858,0.7231065177672725,2,3,5,2,53
0.0,1208,1208,0.294921875,0.294921875,0.7160463585320593,0.7231065177672725,2,3,5,2,54
-92.0,1300,1208,0.3173828125,0.294921875,0.699163037204177,0.7231065177672725,5,3,5,2,55
0.0,1208,1208,0.294921875,0.294921875,0.7163113530222729,0.7231065177672725,2,3,5,2,56
0.0,1208,1208,0.294921875,0.294921875,0.7463537616814627,0.7231065177672725,4,2,5,2,57
0.0,1208,1208,0.294921875,0.294921875,0.716636454273543,0.7231065177672725,2,3,5,2,58
-2.0,1210,1208,0.29541015625,0.294921875,0.7387659986547536,0.7231065177672725,5,2,5,2,59
0.0,1208,1208,0.294921875,0.294921875,0.7446741116363828,0.7231065177672725,4,2,5,2,60
0.0,1208,1208,0.294921875,0.294921875,0.7162550625635056,0.7231065177672725,2,3,5,2,61
0.0,1208,1208,0.294921875,0.294921875,0.7163931650025999,0.7231065177672725,2,3,5,2,62
0.0,1208,1208,0.294921875,0.294921875,0.7459294365706707,0.7231065177672725,4,2,5,2,63
0.0,1208,1208,0.294921875,0.294921875,0.7165420007918827,0.7231065177672725,2,3,5,2,64
0.0,1208,1208,0.294921875,0.294921875,0.7162932255863987,0.7231065177672725,2,3,5,2,65
0.0,1208,1208,0.294921875,0.294921875,0.7162071202659963,0.7231065177672725,2,3,5,2,66
-58.0,1266,1208,0.30908203125,0.294921875,0.7504643962848296,0.7231065177672725,2,0,5,2,67
0.0,1208,1208,0.294921875,0.294921875,0.7166300142634299,0.7231065177672725,2,3,5,2,68
0.0,1208,1208,0.294921875,0.294921875,0.7165627519355808,0.7231065177672725,2,3,5,2,69
0.0,1208,1208,0.294921875,0.294921875,0.7163261411936439,0.7231065177672725,2,3,5,2,70
0.0,1208,1208,0.294921875,0.294921875,0.7384730974540494,0.7231065177672725,5,2,5,2,71
0.0,1208,1208,0.294921875,0.294921875,0.7162886937274301,0.7231065177672725,2,3,5,2,72
-1.0,1209,1208,0.295166015625,0.294921875,0.7522404079627147,0.7231065177672725,2,2,5,2,73
0.0,1208,1208,0.294921875,0.294921875,0.7164628125193797,0.7231065177672725,2,3,5,2,74
-80.0,1288,1208,0.314453125,0.294921875,0.7529302046015064,0.7231065177672725,2,0,5,2,75
0.0,1208,1208,0.294921875,0.294921875,0.7167499892666498,0.7231065177672725,2,3,5,2,76
0.0,1208,1208,0.294921875,0.294921875,0.7165086081468512,0.7231065177672725,2,3,5,2,77
0.0,1208,1208,0.294921875,0.294921875,0.7163402138083357,0.7231065177672725,2,3,5,2,78
0.0,1208,1208,0.294921875,0.294921875,0.7166345461223984,0.7231065177672725,2,3,5,2,79
0.0,1208,1208,0.294921875,0.294921875,0.71647831624743,0.7231065177672725,2,3,5,2,80
0.0,1208,1208,0.294921875,0.294921875,0.7166159416487379,0.7231065177672725,2,3,5,2,81
0.0,1208,1208,0.294921875,0.294921875,0.716059954108965,0.7231065177672725,2,3,5,2,82
-1.0,1209,1208,0.295166015625,0.294921875,0.7162688966593044,0.7231065177672725,2,3,5,2,83
0.0,1208,1208,0.294921875,0.294921875,0.7159798117608897,0.7231065177672725,2,3,5,2,84
0.0,1208,1208,0.294921875,0.294921875,0.7164969207210903,0.7231065177672725,2,3,5,2,85
0.0,1208,1208,0.294921875,0.294921875,0.7163464152995558,0.7231065177672725,2,3,5,2,86
-102.0,1310,1208,0.31982421875,0.294921875,0.699862613117585,0.7231065177672725,5,3,5,2,87
0.0,1208,1208,0.294921875,0.294921875,0.7163478464129144,0.7231065177672725,2,3,5,2,88
0.0,1208,1208,0.294921875,0.294921875,0.7456780376573628,0.7231065177672725,4,2,5,2,89
0.0,1208,1208,0.294921875,0.294921875,0.7166245283288889,0.7231065177672725,2,3,5,2,90
-2.0,1210,1208,0.29541015625,0.294921875,0.7464179232637017,0.7231065177672725,4,2,5,2,91
2.0,1206,1208,0.29443359375,0.294921875,0.7518001020860864,0.7231065177672725,2,2,5,2,92
0.0,1208,1208,0.294921875,0.294921875,0.7165348452250904,0.7231065177672725,2,3,5,2,93
0.0,1208,1208,0.294921875,0.294921875,0.7164859488520086,0.7231065177672725,2,3,5,2,94
0.0,1208,1208,0.294921875,0.294921875,0.7167022854880335,0.7231065177672725,2,3,5,2,95
0.0,1208,1208,0.294921875,0.294921875,0.7162231010318327,0.7231065177672725,2,3,5,2,96
0.0,1208,1208,0.294921875,0.294921875,0.7167335314630272,0.7231065177672725,2,3,5,2,97
-1.0,1209,1208,0.295166015625,0.294921875,0.7518614014416082,0.7231065177672725,2,2,5,2,98
-5.0,1213,1208,0.296142578125,0.294921875,0.7510874076335586,0.7231065177672725,2,2,5,2,99
-10.0,1218,1208,0.29736328125,0.294921875,0.7507770945536596,0.7231065177672725,2,2,5,2,100
0.0,1208,1208,0.294921875,0.294921875,0.7461672399070731,0.7231065177672725,4,2,5,2,101
0.0,1208,1208,0.294921875,0.294921875,0.7519875779360483,0.7231065177672725,2,2,5,2,102
0.0,1208,1208,0.294921875,0.294921875,0.7167146884704737,0.7231065177672725,2,3,5,2,103
0.0,1208,1208,0.294921875,0.294921875,0.7159483272670029,0.7231065177672725,2,3,5,2,104
0.0,1208,1208,0.294921875,0.294921875,0.715159068249796,0.7231065177672725,2,3,5,2,105
3.0,1205,1208,0.294189453125,0.294921875,0.716127216436814,0.7231065177672725,2,3,5,2,106
0.0,1208,1208,0.294921875,0.294921875,0.7334200747041173,0.7231065177672725,6,2,5,2,107
0.0,1208,1208,0.294921875,0.294921875,0.7508872902822632,0.7231065177672725,2,2,5,2,108
0.0,1208,1208,0.294921875,0.294921875,0.7334949696365449,0.7231065177672725,6,2,5,2,109
