delta,correct_pad,correct_amatch,auroc_pad,auroc_amatch,delta_vs_p_only,pad_w0,pad_w1,pad_w2,pad_w3,pad_w4,pad_w5,pad_w6,pad_l0,pad_l1,pad_l2,pad_l3,pad_l4,am_w0,am_w1,am_w2,am_w3,am_w4,am_w5,am_w6,am_l0,am_l1,am_l2,am_l3,am_l4,min_train_pairs,mean_train_pairs,r,kind
-1.0,618,619,0.9748216806597815,0.976381974886693,21.0,0,0,0,1,0,2,2,0,0,0,3,2,0,0,0,0,0,4,1,0,0,0,5,0,498,525.6,3,null
-3.0,608,611,0.9737443346459618,0.97626123783342,11.0,0,0,0,2,0,1,2,0,0,0,1,4,0,0,0,3,0,2,0,0,0,0,2,3,498,525.6,1,null
0.0,608,608,0.9714410431681403,0.9686733784084999,11.0,0,0,0,4,0,1,0,0,0,0,3,2,0,0,0,2,0,0,3,0,0,0,2,3,498,525.6,0,null
-1.0,605,606,0.9763541124897839,0.9751560294226911,8.0,0,0,0,4,0,1,0,0,0,1,3,1,0,0,1,1,0,3,0,0,0,0,4,1,498,525.6,2,null
0.0,609,609,0.977812244594695,0.9746266438814176,12.0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,3,0,0,2,0,0,0,1,4,498,525.6,5,null
-1.0,606,607,0.9702801099635932,0.972936325135597,9.0,0,0,0,3,0,1,1,0,0,0,1,4,0,0,0,2,0,1,2,0,0,0,1,4,498,525.6,4,null
-3.0,610,613,0.9727691507541422,0.9780165688386953,13.0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,0,5,0,498,525.6,6,null
0.0,604,604,0.9759547514674196,0.9746823686752359,7.0,0,0,0,3,0,2,0,0,0,2,2,1,0,0,1,2,0,2,0,0,0,1,2,2,498,525.6,7,null
0.0,601,601,0.9694535255219556,0.968998439705773,4.0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,1,3,0,1,0,0,0,0,2,3,498,525.6,9,null
-1.0,610,611,0.9751560294226911,0.971088119473958,13.0,0,0,0,2,0,1,2,0,0,0,1,4,0,0,0,4,0,0,1,0,0,0,0,5,498,525.6,8,null
0.0,607,607,0.9673081209599524,0.9760754885206925,10.0,0,0,0,3,0,1,1,0,0,1,0,4,0,0,0,3,0,1,1,0,0,0,1,4,498,525.6,10,null
3.0,609,606,0.9673081209599524,0.9761497882457835,12.0,0,0,3,0,0,2,0,0,0,0,2,3,0,0,0,0,0,3,2,0,0,0,3,2,498,525.6,11,null
4.0,617,613,0.9805056096292444,0.9782766178765139,20.0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,5,0,498,525.6,12,null
-1.0,613,614,0.9818708670777918,0.9822516531688833,16.0,0,0,0,0,0,2,3,0,0,0,2,3,0,0,0,0,0,3,2,0,0,0,4,1,498,525.6,13,null
4.0,610,606,0.9704287094137752,0.9721933278846869,13.0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,1,2,0,1,1,0,0,1,1,3,498,525.6,14,null
1.0,605,604,0.9764191247492384,0.974561631621963,8.0,0,0,0,3,0,1,1,0,0,0,1,4,0,0,0,3,0,1,1,0,0,0,1,4,498,525.6,15,null
1.0,610,609,0.9741994204621442,0.975425365926146,13.0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,1,0,4,498,525.6,16,null
1.0,606,605,0.9679210936919533,0.9673917081506799,9.0,0,0,0,3,0,0,2,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,5,498,525.6,17,null
1.0,612,611,0.9648562300319489,0.9721468905565049,15.0,0,0,1,2,0,2,0,0,0,1,3,1,0,0,0,2,0,1,2,0,0,0,4,1,498,525.6,18,null
3.0,608,605,0.9648655174975853,0.9753046288728732,11.0,0,0,1,0,0,2,2,0,0,1,3,1,0,0,1,0,0,1,3,0,0,0,3,2,498,525.6,19,null
0.0,613,613,0.9730570621888699,0.9723790771974145,16.0,0,0,0,3,0,2,0,0,0,0,4,1,0,0,0,5,0,0,0,0,0,0,3,2,498,525.6,20,null
