a,b,fold,target,P_score,covered,n_records,single_a,single_b,z,sd,p,reported_epsilon,epsilon,raw_mask,centered_mask,centered_retain,mask_layout_agreement,retain_layout_agreement,score_inconsistency,single_fitness_missing,pair
APQ12,CPR6,0,1,2.0853515382388066,True,1.0,0.5948,1.0272,0.6029,0.034,0.438,-0.0081,-0.008078559999999957,-0.4161999999999999,-0.016157119999999914,-0.08746155367733482,1.0,1.0,False,False,APQ12|CPR6
APQ12,GPH1,0,1,4.814681115215506,True,1.0,0.5948,1.014,0.5852,0.0223,0.2908,-0.018,-0.01792719999999992,-0.4192,-0.016654399999999958,-0.1366730500546219,1.0,1.0,False,False,APQ12|GPH1
APQ12,HAP4,0,1,3.2637649046773665,True,1.0,0.5948,0.8635,0.5005,0.0315,0.3714,-0.0131,-0.01310980000000006,-0.26870000000000005,0.0,0.052811764869293974,0.0,1.0,False,False,APQ12|HAP4
APQ12,RPN4,0,1,1.5089725191074768,True,1.0,0.5948,0.7663,0.4412,0.0329,0.3743,-0.0146,-0.01459524000000001,-0.17149999999999999,0.0,0.024239664365816958,0.0,1.0,False,False,APQ12|RPN4
ARG80,GPH1,0,1,5.093439051559881,True,1.0,1.0417,1.014,1.0663,0.0749,0.4515,0.01,0.01001619999999992,-0.027700000000000058,0.0,-0.04652126956763801,0.0,1.0,False,False,ARG80|GPH1
ARG80,RTF1,0,-1,-1.2536909352979224,True,1.0,1.0417,0.5465,0.5264,0.0719,0.2177,-0.0429,-0.042889050000000095,0.4952000000000001,0.04557810000000018,0.5153578311509368,1.0,1.0,False,False,ARG80|RTF1
ARG80,YVH1,0,-1,1.278749814806028,True,1.0,1.0417,1.013,1.1081,0.069,0.3026,0.0528,0.05285790000000001,-0.02870000000000017,0.0,-0.262531601358,0.0,1.0,False,False,ARG80|YVH1
ARX1,GPH1,0,1,3.52259967869856,True,2.0,0.7837,1.014,0.7920499999999999,0.0302,0.2309,-0.0026,-0.002621799999999952,-0.20720000000000005,0.0011564000000000574,-0.025120976357933873,0.0,0.0,False,False,ARX1|GPH1
ARX1,INO4,0,-1,-1.8169605571948628,True,2.0,0.7837,0.6017,0.4749,0.1084,0.27775,0.0033500000000000005,0.0033477100000000037,0.18199999999999994,0.0,0.00641748796216772,0.0,0.0,False,False,ARX1|INO4
ARX1,RPN13,0,-1,-2.620696444795085,True,1.0,0.7837,1.0317,0.7973,0.0254,0.3577,-0.0113,-0.011243290000000017,-0.2208,-0.022486580000000034,-0.15103341049889352,1.0,1.0,False,False,ARX1|RPN13
ARX1,SWI3,0,-1,-4.046201464728286,True,1.0,0.7837,0.2695,0.212,0.0083,0.4771,0.0008,0.0007928499999999838,0.5142,0.0,0.002399287612702203,0.0,1.0,False,False,ARX1|SWI3
ASH1,GPH1,0,1,4.008255256859499,True,2.0,1.0505,1.014,1.02495,0.1588,0.34204999999999997,-0.04025,-0.04025700000000004,0.0,0.03649999999999998,0.1935003685145299,0.5,1.0,False,False,ASH1|GPH1
ASH1,SNF5,0,-1,-2.0291564479579804,True,2.0,1.0505,0.2545,0.232,0.0247,0.22275,-0.03535,-0.03535225,0.7855999999999999,0.015304499999999999,0.40071350204147743,1.0,1.0,False,False,ASH1|SNF5
ASH1,SWI3,0,-1,-3.849244135859704,True,1.0,1.0505,0.2695,0.2852,0.0134,0.452,0.0021,0.0020902500000000157,0.7496,-0.004180500000000031,-0.023749518755403317,1.0,1.0,False,False,ASH1|SWI3
ASH1,SWI6,0,-1,-2.852872392215801,True,1.0,1.0505,0.403,0.557,0.1013,0.1595,0.1337,0.1336485,0.3394999999999999,-0.2672969999999999,-1.5587263183129214,1.0,1.0,False,False,ASH1|SWI6
ASK10,CPR6,0,1,0.7887532777622743,True,1.0,0.6595,1.0272,0.6289,0.279,0.4321,-0.0485,-0.04853839999999987,-0.3676999999999999,-0.03587679999999982,-0.5470444460476886,1.0,1.0,False,False,ASK10|CPR6
ASK10,DCC1,0,-1,-3.438061526857888,True,1.0,0.6595,0.916,0.5715,0.0732,0.3843,-0.0326,-0.03260200000000002,-0.25650000000000006,0.0,0.19285457299401187,0.0,1.0,False,False,ASK10|DCC1
ASK10,MRE11,0,-1,-4.40326585023592,True,1.0,0.6595,0.674,0.4553,0.1888,0.4779,0.0108,0.010796999999999946,-0.014500000000000068,0.0,-0.0013185009584051372,0.0,1.0,False,False,ASK10|MRE11
ASK10,NAM7,0,-1,-3.918351022480565,True,1.0,0.6595,0.9925,0.6108,0.2384,0.4324,-0.0438,-0.043753750000000036,-0.3330000000000001,0.0,0.002586636146977019,0.0,1.0,False,False,ASK10|NAM7
ASK10,NBP2,0,-1,-3.344708655099221,True,1.0,0.6595,0.7477,0.6057,0.3273,0.3431,0.1126,0.11259185,-0.08820000000000006,0.0,-0.10571098897353907,0.0,1.0,False,False,ASK10|NBP2
ASK10,OPI3,0,-1,2.129351145866918,True,1.0,0.6595,0.412,0.2559,0.1144,0.4464,-0.0158,-0.01581399999999994,0.2475,0.0,-0.01876166608579572,0.0,1.0,False,False,ASK10|OPI3
ASK10,SWI3,0,-1,-4.127483372224551,True,1.0,0.6595,0.2695,0.1797,0.1131,0.4918,0.0019,0.0019647499999999873,0.39,5.551115123125783e-17,0.0029713410425465936,1.0,1.0,False,False,ASK10|SWI3
AZF1,GPH1,0,1,5.442501732413606,True,2.0,0.948,1.014,0.88895,0.0422,0.10591,-0.0723,-0.072322,-0.06600000000000006,-0.026544000000000123,-1.0982234517159821,1.0,1.0,False,False,AZF1|GPH1
AZF1,YOR338W,0,1,3.2926807201937347,True,1.0,0.948,0.9912,0.9285,0.0556,0.4202,-0.0111,-0.011157599999999879,-0.043200000000000016,0.0,-0.07339550862401602,0.0,1.0,False,False,AZF1|YOR338W
BRR1,NAM7,0,-1,-0.5878557322284332,True,2.0,0.799,0.9925,0.97055,0.0259,1.357e-07,0.17754999999999999,0.17754249999999994,0.14959999999999996,0.34309999999999996,0.3109160022372575,1.0,1.0,False,False,BRR1|NAM7
