a,b,pair,target,S_F,S_reverse,S_d,SLB_F,SLB_reverse,SLB_d
MNS1,CWH41,CWH41|MNS1,1.0,0.0422317647284574,-0.0775848945234798,0.0599083296259686,-0.3863365238848799,-1.2316469104390693,0.4226551932770946
ROT2,CWH41,CWH41|ROT2,1.0,-0.247381392872288,-0.3157724932455173,0.0341955501866146,-0.0784942343903922,-0.1539645732653567,0.0377351694374822
MNS1,MNN2,MNN2|MNS1,1.0,-0.2949652779197638,-0.661760804995561,0.1833977635378985,-0.3450676701088302,-1.2917715494048516,0.4733519396480107
ANP1,MNN2,ANP1|MNN2,1.0,0.188419223223217,0.2059616647397244,-0.0087712207582537,-0.0247083782328265,-0.0561287975082154,0.0157102096376944
MNS1,ROT2,MNS1|ROT2,1.0,0.0201137694336283,-0.0822439484207782,0.0511788589272033,-0.4471440013316026,-1.4267777943064082,0.4898168964874028
STP22,VPS28,STP22|VPS28,1.0,-0.0457922111043311,-0.9583092444477398,0.4562585166717043,0.1258069590422915,-0.9511719110680262,0.5384894350551589
HMG1,BTS1,BTS1|HMG1,1.0,0.4965517802718783,-1.583434365865444,1.039993073068661,-0.1790196787732426,-1.1067053696873896,0.4638428454570735
DIE2,ALG5,ALG5|DIE2,1.0,0.0274283082022927,-0.3729895280631172,0.2002089181327049,0.3657221111006198,-0.8142271061540927,0.5899746086273563
ALG8,ALG5,ALG5|ALG8,1.0,-0.1322846916168913,-0.1809324887089625,0.0243238985460356,-0.0115419100436554,-0.737445721168364,0.3629519055623543
ALG6,ALG5,ALG5|ALG6,1.0,-1.1012309862875052,-0.457359548151165,-0.3219357190681701,-0.3342381206673581,-0.8792452899179193,0.2725035846252805
DIE2,ALG8,ALG8|DIE2,1.0,-0.4082629550270188,-0.638639465026733,0.115188254999857,0.8120753048338332,-0.9133587257566528,0.8627170152952429
DIE2,ALG9,ALG9|DIE2,1.0,-0.5069250370482467,-0.7662635835714959,0.1296692732616246,0.0016311187703679,-0.6741657877259241,0.337898453248146
ALG8,ALG9,ALG8|ALG9,1.0,0.0932681574888497,-0.1754603081813876,0.1343642328351186,-0.305637340225845,-0.5030582214910008,0.0987104406325778
ALG12,ALG9,ALG12|ALG9,1.0,0.0323005043798285,0.0098707811447169,0.0112148616175557,0.3906772186225359,0.2301871494891241,0.0802450345667059
ALG6,ALG9,ALG6|ALG9,1.0,-0.1983863377026824,-0.3995102110967761,0.1005619366970468,-0.3755776473144348,-0.7531763201319288,0.188799336408747
DIE2,ALG6,ALG6|DIE2,1.0,0.2135212433241684,-0.9439812411790404,0.5787512422516043,0.3269239157889174,-0.904105402429862,0.6155146591093899
ALG8,ALG6,ALG6|ALG8,1.0,0.2159146025431907,-0.5659544660368799,0.3909345342900353,-0.0035309401885385,-0.534934298683373,0.2657016792474173
ALG12,ALG3,ALG12|ALG3,1.0,0.4023158107547663,-0.7218079113295011,0.5620618610421337,1.4850597205829137,-1.3305381030568806,1.407798911819897
ALG9,ALG3,ALG3|ALG9,1.0,0.0846851417264258,-0.1089010895012074,0.0967931156138166,0.8974364431139208,-1.1399686532760869,1.0187025481950038
OST5,OST3,OST3|OST5,1.0,-0.4342750476162426,-0.6996365861696334,0.1326807692766954,0.0632277256369953,-1.093795409597065,0.5785115676170302
MNS1,ANP1,ANP1|MNS1,1.0,-0.4879088697554453,-0.0618021302864733,-0.213053369734486,-0.2937116931546462,-0.8827471888103892,0.2945177478278715
CWH41,MNS1,CWH41|MNS1,0.0,-0.0775848945234797,0.0422317647284576,-0.0599083296259686,-1.2316469104390937,-0.3863365238848917,-0.4226551932771009
MNN2,MNS1,MNN2|MNS1,0.0,-0.661760804995561,-0.2949652779197638,-0.1833977635378985,-1.2917715494048516,-0.3450676701088302,-0.4733519396480107
ROT2,MNS1,MNS1|ROT2,0.0,-0.0822439484207782,0.0201137694336283,-0.0511788589272033,-1.4267777943064082,-0.4471440013316026,-0.4898168964874028
OST5,MNS1,MNS1|OST5,0.0,-0.2195264363371722,-0.3893070377368134,0.0848903006998205,-0.8578039223567966,-0.3086544765884344,-0.274574722884181
DIE2,MNS1,DIE2|MNS1,0.0,-1.522245146628657,-0.0856677522956119,-0.7182886971665225,-0.989511819141696,0.1361492366929712,-0.5628305279173336
ALG5,MNS1,ALG5|MNS1,0.0,-0.1736690275962937,0.0839756071315149,-0.1288223173639043,-1.1171368164656958,-0.185931862272691,-0.4656024770965024
ALG8,MNS1,ALG8|MNS1,0.0,-0.1044872138499338,0.0001612081619712,-0.0523242110059525,-1.0776918869126266,-0.2632440839739473,-0.4072239014693397
ALG12,MNS1,ALG12|MNS1,0.0,-0.0982253307036512,0.0033428138372901,-0.0507840722704707,-1.1159161394888928,-1.0213172512327442,-0.0472994441280743
ALG9,MNS1,ALG9|MNS1,0.0,-1.3803449086449484,-1.4620132658265912,0.0408341785908213,-1.202636293097912,-0.9323731782388364,-0.1351315574295378
ALG6,MNS1,ALG6|MNS1,0.0,-0.1441035166641512,0.0122204378777375,-0.0781619772709443,-1.0852365528952497,0.0594606476005517,-0.5723486002479006
ALG3,MNS1,ALG3|MNS1,0.0,-0.1235233585679956,0.047729822134267,-0.0856265903511313,-1.6002118486647214,-0.7730090456527585,-0.4136014015059814
OST3,MNS1,MNS1|OST3,0.0,-0.0398610503932492,-0.0403327130403298,0.0002358313235403,-1.055167560074342,-0.1420993804062418,-0.4565340898340501
ANP1,MNS1,ANP1|MNS1,0.0,-0.0618021302864733,-0.4879088697554453,0.213053369734486,-0.8827471888103892,-0.2937116931546462,-0.2945177478278715
BTS1,HMG1,BTS1|HMG1,0.0,-1.583434365865444,0.4965517802718783,-1.039993073068661,-1.1067053696873896,-0.1790196787732426,-0.4638428454570735
PCT1,PSD2,PCT1|PSD2,0.0,-0.7290779231189656,0.0853524713346073,-0.4072151972267864,-0.6074227081252235,-0.8745162036914126,0.1335467477830945
DOA4,STP22,DOA4|STP22,0.0,-1.1419689042656946,-0.0349396838406669,-0.5535146102125139,-0.8259934605052427,-0.9079333900224557,0.0409699647586064
GCS1,STP22,GCS1|STP22,0.0,-0.7312465866823701,1.0402849808952654,-0.8857657837888178,-0.9095464997950152,0.0841914007112019,-0.4968689502531085
VPS28,STP22,STP22|VPS28,0.0,-0.9583092444477398,-0.0457922111043311,-0.4562585166717043,-0.9511719110680548,0.1258069590422915,-0.5384894350551731
GOS1,TLG2,GOS1|TLG2,0.0,-0.9274982620146384,0.4010566872234177,-0.6642774746190281,-0.9974283702961334,-0.7218378347667085,-0.1377952677647124
SEC22,TLG2,SEC22|TLG2,0.0,-0.6563167072067898,-0.2959819284924238,-0.180167389357183,-1.0663055718358103,-0.7098263522594306,-0.1782396097881899
STP22,DOA4,DOA4|STP22,0.0,-0.0349396838406669,-1.1419689042656946,0.5535146102125139,-0.9079333900224698,-0.8259934605052427,-0.0409699647586135
GCS1,DOA4,DOA4|GCS1,0.0,-0.063999908877402,-1.0896825387592144,0.5128413149409061,-1.2117296487263545,-0.3166892459253837,-0.4475202014004854
VPS28,DOA4,DOA4|VPS28,0.0,-0.0917977806466072,0.0894676699426846,-0.0906327252946459,-1.1616432300106072,-0.2415277216288182,-0.4600577541908944
PSD2,PCT1,PCT1|PSD2,0.0,0.0853524713346073,-0.7290779231189656,0.4072151972267864,-0.8745162036914126,-0.6074227081252235,-0.1335467477830945
OST5,CWH41,CWH41|OST5,0.0,-0.6628665993048777,-0.2626856443552223,-0.2000904774748277,-0.6349224220529177,-0.189181002928018,-0.2228707095624498
DIE2,CWH41,CWH41|DIE2,0.0,-1.0403668033078723,-0.730317026422834,-0.1550248884425191,-0.2307789299959021,-0.9584706586428428,0.3638458643234703
ALG5,CWH41,ALG5|CWH41,0.0,-0.6986766752462025,-0.1930353161662182,-0.2528206795399921,-0.6913821667490784,-0.6554557261992663,-0.017963220274906
ALG8,CWH41,ALG8|CWH41,0.0,-0.9396893600609686,-0.298593510882608,-0.3205479245891802,-1.048793861976249,-1.0403223468691891,-0.0042357575535297
ALG12,CWH41,ALG12|CWH41,0.0,-0.9151661174631448,-0.4922007007515346,-0.2114827083558051,-0.8494209397222583,-1.0003218157641172,0.0754504380209294
ALG9,CWH41,ALG9|CWH41,0.0,-0.3539203589764843,-0.704506630880766,0.1752931359521408,-1.076366053099681,-1.2460692761101415,0.0848516115052302
ALG6,CWH41,ALG6|CWH41,0.0,-0.8639895927897117,-0.3992750360645056,-0.232357278362603,-0.992632028111342,-0.973195356927832,-0.009718335591755
ALG3,CWH41,ALG3|CWH41,0.0,-1.049076818739797,-1.968376763582094,0.4596499724211486,-1.2477699880340989,-1.0595540610993648,-0.0941079634673669
OST3,CWH41,CWH41|OST3,0.0,-0.5333798527141907,-0.4497044389763767,-0.041837706868907,-0.908794870948194,-1.4098763656022222,0.250540747327014
UBC7,UFD2,UBC7|UFD2,0.0,-0.7062605501473557,-0.2183829070356145,-0.2439388215558705,-1.1247434151918956,-0.9580175392127748,-0.0833629379895603
HRD1,UFD2,HRD1|UFD2,0.0,-1.0103836092787457,-0.5779073702183962,-0.2162381195301746,-0.9552422613992544,-0.7964289265141625,-0.0794066674425459
TLG2,GOS1,GOS1|TLG2,0.0,0.4010566872234177,-0.9274982620146384,0.6642774746190281,-0.7218378347667085,-0.9974283702961334,0.1377952677647124
SEC22,GOS1,GOS1|SEC22,0.0,-0.5746298065765055,-0.9848051378674384,0.2050876656454664,-0.9105164299362534,-1.622797666464341,0.356140618264044
STP22,GCS1,GCS1|STP22,0.0,1.0402849808952654,-0.7312465866823701,0.8857657837888178,0.0841914007112037,-0.9095464997950132,0.4968689502531085
DOA4,GCS1,DOA4|GCS1,0.0,-1.0896825387592144,-0.063999908877402,-0.5128413149409061,-0.3166892459253837,-1.2117296487263545,0.4475202014004854
VPS28,GCS1,GCS1|VPS28,0.0,0.6433456019940255,0.3404740270338169,0.1514357874801042,-0.2214080146846361,-0.5884572935872057,0.1835246394512847
CWH41,ROT2,CWH41|ROT2,0.0,-0.3157724932455173,-0.247381392872288,-0.0341955501866146,-0.1539645732653567,-0.0784942343903922,-0.0377351694374822
OST5,ROT2,OST5|ROT2,0.0,-0.0241632557522431,-0.3019633722906123,0.1389000582691845,-0.1785682101121528,-1.0379349717386133,0.4296833808132302
DIE2,ROT2,DIE2|ROT2,0.0,-1.0332620029703807,-0.3162890220761615,-0.3584864904471095,-0.7751956172217872,-0.94676890770051,0.0857866452393614
ALG5,ROT2,ALG5|ROT2,0.0,-0.8803750978739235,-0.1928703235429971,-0.3437523871654632,-0.5155449050523803,-0.3332860032824176,-0.0911294508849813
ALG8,ROT2,ALG8|ROT2,0.0,-0.7193032565694361,-0.2955974042469387,-0.2118529261612486,-0.8726955259790831,-0.8634064675516152,-0.0046445292137339
ALG12,ROT2,ALG12|ROT2,0.0,-0.1534601938097617,0.0812117913083665,-0.1173359925590641,-1.297259218879358,-0.3759968701758011,-0.4606311743517784
ALG9,ROT2,ALG9|ROT2,0.0,-0.8429795639418944,-0.404478535499116,-0.2192505142213892,-1.1536057030734264,-0.5638729412884821,-0.2948663808924721
ALG6,ROT2,ALG6|ROT2,0.0,-0.9053064017516306,-0.4694492443282319,-0.2179285787116993,-0.9883352023441706,-0.9399051306328025,-0.0242150358556841
