gene,n,n_pos,M_d,M_F,V_F,V_d
ALG12,146,19,0.2018234562784915,0.14919187733112307,0.04434314131786158,0.0256941566514712
ALG3,146,19,0.19560712805636138,0.14960629921259844,0.03812681309573145,0.016162453377538334
ALG5,146,18,0.14973958333333334,0.11979166666666667,0.032552083333333336,0.019097222222222224
ALG6,146,17,0.1719106247150023,0.13132694938440492,0.033287733698130414,0.01459188326493388
ALG8,146,17,0.19607843137254902,0.14546283629730963,0.033287733698130414,0.022799817601459188
ALG9,146,16,0.18557692307692308,0.12596153846153846,0.06682692307692308,0.05961538461538462
ANP1,164,19,0.1691470054446461,0.13284936479128856,0.040653357531760435,0.02250453720508167
BTS1,166,20,0.19623287671232878,0.14520547945205478,0.03664383561643836,0.022602739726027398
CWH41,146,19,0.1670120182345628,0.1525072523829258,0.04682967260671363,0.035225859925404064
DIE2,146,17,0.18969448244414044,0.11171910624715002,-0.00045599635202918376,-0.012311901504787962
DOA4,162,21,0.17831813576494426,0.12293144208037825,0.038162782843633905,0.02127659574468085
GCS1,162,21,0.1789935832489024,0.12901046943600136,0.03343465045592705,0.019587977034785545
GOS1,164,21,0.1754911754911755,0.13353313353313354,0.038295038295038296,0.024309024309024308
HMG1,166,20,0.19623287671232878,0.14520547945205478,0.03664383561643836,0.022602739726027398
HRD1,164,21,0.17649017649017648,0.1401931401931402,0.03263403263403263,0.02197802197802198
MNN2,164,19,0.18874773139745918,0.1339382940108893,0.04500907441016334,0.022141560798548093
MNS1,142,17,0.15623529411764706,0.11905882352941176,0.06023529411764706,0.026823529411764704
OST3,146,20,0.18888888888888888,0.1349206349206349,0.018253968253968255,0.012301587301587301
OST5,146,20,0.1761904761904762,0.125,0.0380952380952381,0.013492063492063493
PCT1,166,21,0.17766830870279146,0.13366174055829227,0.035467980295566505,0.019704433497536946
PMT1,166,21,0.17766830870279146,0.13004926108374384,0.0374384236453202,0.01904761904761905
PMT2,166,21,0.17766830870279146,0.13004926108374384,0.0374384236453202,0.01904761904761905
PSD2,166,21,0.17766830870279146,0.13366174055829227,0.035467980295566505,0.019704433497536946
ROT2,146,19,0.17198508081226688,0.14421881475341897,0.04102776626605885,0.027766266058847907
SEC22,164,21,0.17615717615717616,0.1361971361971362,0.038295038295038296,0.023976023976023976
STP22,162,20,0.1880281690140845,0.13309859154929576,0.041901408450704225,0.02112676056338028
TLG2,164,21,0.17582417582417584,0.1322011322011322,0.038295038295038296,0.021645021645021644
UBC7,164,21,0.17682317682317683,0.14152514152514153,0.030303030303030304,0.020646020646020648
UFD2,164,21,0.17682317682317683,0.13886113886113885,0.03596403596403597,0.01998001998001998
VPS28,162,20,0.1926056338028169,0.13274647887323943,0.03415492957746479,0.019014084507042252
