gene,n,n_pos,M_full_d,M_full_F
ALG12,146,19,0.02237878159966846,-0.0016576875259013675
ALG3,146,19,0.020721094073767096,-0.0004144218814753419
ALG5,146,18,0.016059027777777776,0.0008680555555555555
ALG6,146,17,0.011855905152758778,-0.00045599635202918376
ALG8,146,17,0.013223894208846329,-0.00729594163246694
ALG9,146,16,0.017788461538461538,-0.0004807692307692308
ANP1,164,19,0.022867513611615244,0.0003629764065335753
BTS1,166,20,0.017465753424657535,-0.0010273972602739725
CWH41,146,19,0.015748031496062992,-0.0045586406962287605
DIE2,146,17,0.025079799361605107,0.004559963520291838
DOA4,162,21,0.019587977034785545,0.0010131712259371835
GCS1,162,21,0.018574805808848363,0.0006754474839581223
GOS1,164,21,0.016650016650016652,-0.000999000999000999
HMG1,166,20,0.017465753424657535,-0.0010273972602739725
HRD1,164,21,0.016650016650016652,-0.000999000999000999
MNN2,164,19,0.018511796733212342,-0.0003629764065335753
MNS1,142,17,0.01976470588235294,0.001411764705882353
OST3,146,20,0.014682539682539682,-0.004365079365079365
OST5,146,20,0.01626984126984127,-0.005555555555555556
PCT1,166,21,0.01839080459770115,-0.0009852216748768472
PMT1,166,21,0.016420361247947456,-0.0009852216748768472
PMT2,166,21,0.016420361247947456,-0.0009852216748768472
PSD2,166,21,0.01839080459770115,-0.0009852216748768472
ROT2,146,19,0.01326150020721094,0.0008288437629506838
SEC22,164,21,0.016650016650016652,-0.000999000999000999
STP22,162,20,0.018309859154929577,-0.00035211267605633805
TLG2,164,21,0.016650016650016652,-0.000999000999000999
UBC7,164,21,0.016983016983016984,-0.000999000999000999
UFD2,164,21,0.016983016983016984,-0.000999000999000999
VPS28,162,20,0.01936619718309859,0.0
