task,shuffle,F_AUROC,d_AUROC,known_correct,delta_F,delta_d,delta_known
M,0,0.6381600259151279,0.6015549076773566,13,-0.06316812439261421,-0.07353417557499187,-5
M,1,0.5856818918043407,0.6109491415613864,14,-0.11564625850340138,-0.06413994169096215,-4
M,2,0.6177518626498218,0.5659216067379332,14,-0.08357628765792025,-0.10916747651441527,-4
M,3,0.6025267249757046,0.594428247489472,14,-0.0988014253320375,-0.08066083576287653,-4
M,4,0.6491739552964043,0.5905409782960803,13,-0.05215419501133778,-0.08454810495626819,-5
M,5,0.6161321671525752,0.6316812439261419,15,-0.08519598315516685,-0.04340783932620662,-3
M,6,0.6838354389374798,0.6624554583738257,16,-0.017492711370262315,-0.01263362487852282,-2
M,7,0.6145124716553287,0.6381600259151279,16,-0.08681567865241335,-0.03692905733722063,-2
M,8,0.694849368318756,0.7178490443796566,17,-0.006478781988986104,0.042759961127308066,-1
M,9,0.7376093294460642,0.7168772270813086,17,0.03628117913832207,0.04178814382896012,-1
M,10,0.5594428247489471,0.5720764496274701,14,-0.14188532555879496,-0.10301263362487845,-4
M,11,0.6637512147716229,0.6631033365727244,15,-0.03757693553611918,-0.011985746679624154,-3
M,12,0.6640751538710722,0.6138645934564302,14,-0.037252996436669905,-0.061224489795918324,-4
M,13,0.6290897311305474,0.6530612244897959,14,-0.07223841917719465,-0.022027858762552643,-4
M,14,0.7784256559766763,0.7677356656948493,18,0.07709750566893425,0.09264658244250079,0
M,15,0.6384839650145772,0.6365403304178814,16,-0.06284418529316493,-0.038548752834467126,-2
M,16,0.7363135730482668,0.7839326206673145,19,0.03498542274052474,0.108843537414966,1
M,17,0.5928085519922255,0.662779397473275,16,-0.10851959831551661,-0.012309685779073543,-2
M,18,0.7162293488824101,0.6747651441528992,16,0.014901198574667984,-0.00032393909944927746,-2
M,19,0.807904114026563,0.7567217363135731,17,0.10657596371882094,0.08163265306122458,-1
M,20,0.6281179138321996,0.6420472951085197,15,-0.07321023647554248,-0.033041788143828854,-3
M,21,0.7275672173631358,0.6456106252024619,15,0.026239067055393694,-0.02947845804988658,-3
M,22,0.6929057337220602,0.7058632977000324,19,-0.00842241658568188,0.030774214447683912,1
M,23,0.691609977324263,0.6501457725947521,16,-0.0097181729834791,-0.024943310657596363,-2
M,24,0.6967930029154518,0.6689342403628118,16,-0.0045351473922903285,-0.006154842889536716,-2
M,25,0.6148364107547781,0.6083576287657919,12,-0.08649173955296396,-0.0667314544865566,-6
M,26,0.648850016196955,0.6171039844509232,12,-0.052478134110787056,-0.05798509880142533,-6
M,27,0.6948493683187561,0.6669906057661159,16,-0.006478781988985993,-0.008098477486232603,-2
M,28,0.6180758017492712,0.6132167152575316,13,-0.08325234855847086,-0.06187236799481688,-5
M,29,0.6252024619371557,0.6015549076773566,14,-0.07612568837058642,-0.07353417557499187,-4
M,30,0.6320051830255912,0.5639779721412375,11,-0.06932296728215093,-0.11111111111111105,-7
M,31,0.6430191124068675,0.6507936507936508,16,-0.058309037900874605,-0.024295432458697697,-2
M,32,0.6699060576611597,0.652089407191448,15,-0.031422092646582356,-0.022999676060900476,-3
M,33,0.6828636216391318,0.6041464204729511,13,-0.01846452866861026,-0.07094266277939743,-5
M,34,0.7201166180758017,0.7243278263686427,18,0.018788467768059647,0.04923874311629417,0
