method,deleted_gene,n_remaining,PD_net_correct
PD_frozen,ADD66,656,0
PD_frozen,AIM1,656,0
PD_frozen,APN2,656,0
PD_frozen,APQ12,653,0
PD_frozen,ARG80,654,0
PD_frozen,ARP6,655,0
PD_frozen,ARX1,653,0
PD_frozen,ASC1,650,0
PD_frozen,ASE1,655,0
PD_frozen,ASF1,653,0
PD_frozen,ASH1,653,0
PD_frozen,ASK10,650,0
PD_frozen,ATG10,653,0
PD_frozen,ATG32,655,0
PD_frozen,AZF1,655,0
PD_frozen,BAS1,656,0
PD_frozen,BCY1,647,0
PD_frozen,BMH1,650,0
PD_frozen,BRE5,654,0
PD_frozen,BRR1,656,0
PD_frozen,BUD13,656,0
PD_frozen,CAC2,655,0
PD_frozen,CAF130,656,0
PD_frozen,CBF1,651,0
PD_frozen,CCR4,651,0
PD_frozen,CDC40,651,0
PD_frozen,CDH1,656,0
PD_frozen,CGI121,656,0
PD_frozen,CHA4,656,0
PD_frozen,CHD1,656,0
PD_frozen,CHK1,656,0
PD_frozen,CHL1,656,0
PD_frozen,CHO2,645,0
PD_frozen,CIN8,653,0
PD_frozen,CKA2,656,0
PD_frozen,CKB2,655,0
PD_frozen,CLB2,655,0
PD_frozen,CLN3,654,0
PD_frozen,CMK2,642,0
PD_frozen,CPR6,648,0
PD_frozen,CST6,648,0
PD_frozen,CTF18,654,0
PD_frozen,CTF4,654,0
PD_frozen,CTF8,655,0
PD_frozen,CTI6,656,0
PD_frozen,CTR9,648,0
PD_frozen,CUP9,656,0
PD_frozen,DAL81,656,0
PD_frozen,DAT1,656,0
PD_frozen,DCC1,654,0
PD_frozen,DDR48,639,0
PD_frozen,DEF1,643,0
PD_frozen,DEG1,656,0
PD_frozen,DEP1,654,0
PD_frozen,DID4,655,0
PD_frozen,DIG1,652,0
PD_frozen,DLS1,656,0
PD_frozen,DOA1,653,0
PD_frozen,DOA4,654,0
PD_frozen,DPB4,656,0
PD_frozen,DUN1,651,0
PD_frozen,EAF5,656,0
PD_frozen,EAF6,656,0
PD_frozen,EAF7,656,0
PD_frozen,EBS1,656,0
PD_frozen,EDE1,655,0
PD_frozen,ELA1,654,0
PD_frozen,ELC1,656,0
PD_frozen,ELF1,654,0
PD_frozen,ELM1,655,0
PD_frozen,ELP2,655,0
PD_frozen,ELP4,654,0
PD_frozen,ELP6,652,0
PD_frozen,ERF2,656,0
PD_frozen,ERG2,653,0
PD_frozen,ESC2,656,0
PD_frozen,EST3,650,0
PD_frozen,EUG1,651,0
PD_frozen,FKS1,655,0
PD_frozen,FZF1,655,0
PD_frozen,GAL80,655,0
PD_frozen,GAT2,652,0
PD_frozen,GCR2,654,0
PD_frozen,GIS1,654,0
PD_frozen,GIS4,656,0
PD_frozen,GPG1,633,0
PD_frozen,GPH1,615,0
PD_frozen,GPR1,655,0
PD_frozen,GSY1,627,0
PD_frozen,GSY2,629,0
PD_frozen,GTR1,654,0
PD_frozen,HAL9,656,0
PD_frozen,HAP4,646,0
PD_frozen,HAP5,655,0
PD_frozen,HDA1,656,0
PD_frozen,HFI1,646,0
PD_frozen,HFM1,650,0
PD_frozen,HHF1,654,0
PD_frozen,HHT1,655,0
PD_frozen,HMO1,654,0
PD_frozen,HOG1,656,0
PD_frozen,HOM2,654,0
PD_frozen,HOS3,656,0
PD_frozen,HOS4,655,0
PD_frozen,HPC2,652,0
PD_frozen,HSC82,651,0
PD_frozen,HSE1,653,0
PD_frozen,HTZ1,654,0
PD_frozen,HUR1,654,0
PD_frozen,HXK2,653,0
PD_frozen,IES1,656,0
PD_frozen,IES2,653,0
PD_frozen,IES3,655,0
