method,label,n,correct,accuracy,auroc,log_loss,ties,PD_repairs,PD_harms,PD_net,paired_discordant,descriptive_mcnemar_p,observed_single_n,observed_single_correct,PD_observed_single_correct,PD_nonworse_folds
PD_frozen,冻结 P＋D,657,611,0.9299847792998478,0.9751467419570548,0.46083567266680747,0,0,0,0,0,1.0,626,583,583,5
P_frozen,冻结原 P,657,597,0.908675799086758,0.9538598707184783,0.28248149852571713,0,24,10,14,34,0.024306510109454393,626,569,583,5
svm_17,svm seed 17,657,602,0.9162861491628614,0.9704287094137751,0.29054908432818793,1,13,4,9,17,0.049041748046875,626,576,583,5
xgboost_17,xgboost seed 17,657,604,0.9193302891933028,0.970326547291775,0.21566104363560984,0,9,2,7,11,0.0654296875,626,576,583,4
xgboost_29,xgboost seed 29,657,604,0.9193302891933028,0.970326547291775,0.21566104363560984,0,9,2,7,11,0.0654296875,626,576,583,4
xgboost_43,xgboost seed 43,657,604,0.9193302891933028,0.970326547291775,0.21566104363560984,0,9,2,7,11,0.0654296875,626,576,583,4
catboost_17,catboost seed 17,657,604,0.9193302891933028,0.9693978007281372,0.23465261300301557,0,11,4,7,15,0.11846923828124999,626,576,583,5
catboost_29,catboost seed 29,657,603,0.9178082191780822,0.9706144587265026,0.22660461283888336,0,12,4,8,16,0.076812744140625,626,575,583,5
catboost_43,catboost seed 43,657,606,0.9223744292237442,0.9705401590014118,0.22778410057924312,0,10,5,5,15,0.30175781249999994,626,578,583,4
red_17,Réd 方向差 seed 17,657,159,0.2420091324200913,0.18696597072590831,0.7024454770870066,0,476,24,452,500,3.526928775976482e-110,626,143,583,5
red_released_onesided_17,Réd 原发布单向概率 seed 17,657,206,0.3135464231354642,0.2599097258340144,0.6985125399254537,0,425,20,405,445,5.706736697845498e-100,626,191,583,5
red_29,Réd 方向差 seed 29,657,162,0.2465753424657534,0.1973679322386507,0.7014680157388252,0,473,24,449,497,2.4345046959026307e-109,626,147,583,5
red_released_onesided_29,Réd 原发布单向概率 seed 29,657,205,0.3120243531202435,0.26314176387547367,0.6980340836147283,0,427,21,406,448,1.671570507485013e-99,626,192,583,5
red_43,Réd 方向差 seed 43,657,165,0.2511415525114155,0.20003343487629094,0.7010810489299452,0,471,25,446,496,8.770268519079981e-108,626,150,583,5
red_released_onesided_43,Réd 原发布单向概率 seed 43,657,208,0.3165905631659056,0.27318151422839737,0.6979709031460387,0,427,24,403,451,1.5794715237246225e-96,626,195,583,5
