method,a,b,score,reverse_score,direction_margin,PD_direction_margin
PD_frozen,MNS1,CWH41,-0.4014149002465957,-1.224750319644449,0.8233354193978533,0.8233354193978533
PD_frozen,ROT2,CWH41,-0.1776355510420928,-0.0622654131037764,-0.11537013793831641,-0.11537013793831641
PD_frozen,MNS1,MNN2,-0.1856310058916243,-1.477066633573692,1.2914356276820675,1.2914356276820675
PD_frozen,ANP1,MNN2,0.0111554421954653,-0.0189950456972993,0.030150487892764602,0.030150487892764602
PD_frozen,MNS1,ROT2,-0.4999621605085871,-1.2145633329561791,0.714601172447592,0.714601172447592
PD_frozen,STP22,VPS28,0.0968172317845733,-0.8899128472253679,0.9867300790099411,0.9867300790099411
PD_frozen,HMG1,BTS1,-0.0184865152943582,-1.257140559395605,1.2386540441012468,1.2386540441012468
PD_frozen,DIE2,ALG5,0.3070026960434103,-0.663452365023069,0.9704550610664793,0.9704550610664793
PD_frozen,ALG8,ALG5,0.1616676205571338,-0.6198493541828467,0.7815169747399805,0.7815169747399805
PD_frozen,ALG6,ALG5,-0.440219138029897,-0.7605155864371543,0.32029644840725735,0.32029644840725735
PD_frozen,DIE2,ALG8,0.5756157230154625,-0.780486624570863,1.3561023475863254,1.3561023475863254
PD_frozen,DIE2,ALG9,0.0573279733638958,-0.6007238161773933,0.6580517895412892,0.6580517895412892
PD_frozen,ALG8,ALG9,-0.1784728502554457,-0.432670361791615,0.2541975115361693,0.2541975115361693
PD_frozen,ALG12,ALG9,0.3906772186225359,0.2301871494891241,0.1604900691334118,0.1604900691334118
PD_frozen,ALG6,ALG9,-0.3111961815309657,-0.7217230778411919,0.41052689631022626,0.41052689631022626
PD_frozen,DIE2,ALG6,-0.2126342502621885,-0.7649248552771521,0.5522906050149636,0.5522906050149636
PD_frozen,ALG8,ALG6,-0.1946713405163144,-0.5931616858926129,0.39849034537629846,0.39849034537629846
PD_frozen,ALG12,ALG3,1.4850597205829137,-1.3305381030568806,2.815597823639794,2.815597823639794
PD_frozen,ALG9,ALG3,0.8974364431139208,-1.1399686532760869,2.0374050963900077,2.0374050963900077
PD_frozen,OST5,OST3,0.0446145819706429,-1.0647019094134804,1.1093164913841234,1.1093164913841234
PD_frozen,MNS1,ANP1,-0.0614295237574123,-1.3151102490198,1.2536807252623876,1.2536807252623876
P_frozen,MNS1,CWH41,-0.5581433409068649,0.5581433409068649,-1.1162866818137298,0.8233354193978533
P_frozen,ROT2,CWH41,0.3941276686001568,-0.3941276686001568,0.7882553372003136,-0.11537013793831641
P_frozen,MNS1,MNN2,-3.1535420068883417,3.1535420068883417,-6.3070840137766835,1.2914356276820675
P_frozen,ANP1,MNN2,-0.0497846075956961,0.0497846075956961,-0.0995692151913922,0.030150487892764602
P_frozen,MNS1,ROT2,-0.9492012630520194,0.9492012630520194,-1.8984025261040387,0.714601172447592
P_frozen,STP22,VPS28,0.1381316054024177,-0.1381316054024177,0.2762632108048354,0.9867300790099411
P_frozen,HMG1,BTS1,-3.424844601734596,3.424844601734596,-6.849689203469192,1.2386540441012468
P_frozen,DIE2,ALG5,2.2456775762859498,-2.2456775762859498,4.4913551525718995,0.9704550610664793
P_frozen,ALG8,ALG5,0.6630119316639558,-0.6630119316639558,1.3260238633279116,0.7815169747399805
P_frozen,ALG6,ALG5,0.9292108341262078,-0.9292108341262078,1.8584216682524155,0.32029644840725735
P_frozen,DIE2,ALG8,1.5838887802778316,-1.5838887802778316,3.1677775605556633,1.3561023475863254
P_frozen,DIE2,ALG9,1.920703954084721,-1.920703954084721,3.841407908169442,0.6580517895412892
P_frozen,ALG8,ALG9,0.3388860509284767,-0.3388860509284767,0.6777721018569534,0.2541975115361693
P_frozen,ALG12,ALG9,0.1248640760433653,-0.1248640760433653,0.2497281520867306,0.1604900691334118
P_frozen,ALG6,ALG9,0.6105536038414243,-0.6105536038414243,1.2211072076828486,0.41052689631022626
P_frozen,DIE2,ALG6,1.3155815946260887,-1.3155815946260887,2.6311631892521774,0.5522906050149636
P_frozen,ALG8,ALG6,-0.2682307176283014,0.2682307176283014,-0.5364614352566028,0.39849034537629846
P_frozen,ALG12,ALG3,1.1200467969690902,-1.1200467969690902,2.2400935939381803,2.815597823639794
P_frozen,ALG9,ALG3,0.9965678534086448,-0.9965678534086448,1.9931357068172897,2.0374050963900077
P_frozen,OST5,OST3,-0.5364063664987763,0.5364063664987763,-1.0728127329975525,1.1093164913841234
P_frozen,MNS1,ANP1,-3.1030439412852817,3.1030439412852817,-6.206087882570563,1.2536807252623876
A_match,MNS1,CWH41,-0.0366422839623681,-0.082156439571898,0.0455141556095299,0.8233354193978533
A_match,ROT2,CWH41,-0.2597544138477429,0.146471748733823,-0.40622616258156585,-0.11537013793831641
A_match,MNS1,MNN2,0.0771959411681233,-1.26970319026898,1.3468991314371033,1.2914356276820675
A_match,ANP1,MNN2,-0.0544777184861259,-0.0307536959895195,-0.0237240224966064,0.030150487892764602
A_match,MNS1,ROT2,0.0364788395074099,-1.058679816366631,1.095158655874041,0.714601172447592
A_match,STP22,VPS28,0.4425362298738136,-1.076802553374168,1.5193387832479817,0.9867300790099411
A_match,HMG1,BTS1,0.0914401932435619,-1.4793682159392207,1.5708084091827827,1.2386540441012468
A_match,DIE2,ALG5,0.1417522023743629,-0.2748766732359511,0.41662887561031403,0.9704550610664793
A_match,ALG8,ALG5,0.1112373052633611,-0.2573990191397983,0.3686363244031594,0.7815169747399805
A_match,ALG6,ALG5,-0.5517513663552972,-0.1455510096335475,-0.4062003567217497,0.32029644840725735
A_match,DIE2,ALG8,0.1022272417749609,-0.1022272417749609,0.2044544835499218,1.3561023475863254
A_match,DIE2,ALG9,-0.147637351482717,-0.9203449836274608,0.7727076321447437,0.6580517895412892
A_match,ALG8,ALG9,-0.058165242532342,-0.2284943191017933,0.1703290765694513,0.2541975115361693
A_match,ALG12,ALG9,0.100900764873813,0.1356762018739526,-0.0347754370001396,0.1604900691334118
A_match,ALG6,ALG9,-0.0828683443359991,0.3780239459422745,-0.4608922902782736,0.41052689631022626
A_match,DIE2,ALG6,-0.0790918570196287,-0.7208359123012307,0.6417440552816019,0.5522906050149636
A_match,ALG8,ALG6,0.972920633529626,-0.5894327788319413,1.5623534123615674,0.39849034537629846
A_match,ALG12,ALG3,0.9883351196629736,-0.8286993774310044,1.817034497093978,2.815597823639794
A_match,ALG9,ALG3,0.4227209124544847,-0.3113809982893006,0.7341019107437853,2.0374050963900077
A_match,OST5,OST3,-0.1215191416355985,-0.6972469726029958,0.5757278309673973,1.1093164913841234
A_match,MNS1,ANP1,-0.6004228797793143,-0.756386131358865,0.1559632515795507,1.2536807252623876
A_rbf,MNS1,CWH41,0.1391215045679516,-0.9948742488806294,1.133995753448581,0.8233354193978533
A_rbf,ROT2,CWH41,-0.0535466746474133,0.2786272058008372,-0.3321738804482505,-0.11537013793831641
A_rbf,MNS1,MNN2,-0.4493177435199685,-0.6996182241175739,0.2503004805976054,1.2914356276820675
A_rbf,ANP1,MNN2,-0.0445224003944779,-0.0445224003944779,0.0,0.030150487892764602
A_rbf,MNS1,ROT2,0.0734933457997178,-0.1140503267248926,0.1875436725246104,0.714601172447592
A_rbf,STP22,VPS28,0.4018991021372235,-1.1331189404457638,1.5350180425829874,0.9867300790099411
A_rbf,HMG1,BTS1,-0.1752364311201779,-1.1100179943338244,0.9347815632136465,1.2386540441012468
A_rbf,DIE2,ALG5,0.5258089433713498,0.1137709923192773,0.41203795105207247,0.9704550610664793
A_rbf,ALG8,ALG5,-0.058430446852205,-0.5347606181178859,0.4763301712656809,0.7815169747399805
A_rbf,ALG6,ALG5,-0.8126311348302284,0.0518343550523505,-0.8644654898825789,0.32029644840725735
A_rbf,DIE2,ALG8,0.0101648397022726,-0.1997984311068902,0.2099632708091628,1.3561023475863254
A_rbf,DIE2,ALG9,0.058129854403198,-0.9975204586984212,1.0556503131016193,0.6580517895412892
