method,group,seed,n,positive,auroc,average_precision,known_direction_n,known_direction_correct,known_direction_ties,PD_auc_gain,PD_ranking_improved,PD_ranking_worsened,PD_ranking_net_concordance,PD_direction_repairs,PD_direction_harms
PD_frozen,frozen_primary,,168,21,0.8811143505021056,0.41536364617690597,21,20,0,0.0,0,0,0.0,0,0
P_frozen,inherited_single_channel,,168,21,0.5364431486880465,0.13589988807614473,21,13,0,0.34467120181405897,1255,191,1064.0,8,1
A_match,inherited_nonlinear_control,,168,21,0.8276643990929706,0.3280819597094613,21,16,0,0.05344995140913508,298,133,165.0,4,0
A_rbf,inherited_nonlinear_control,,168,21,0.8109815354713313,0.30141687271754547,21,16,1,0.07013281503077422,347,130,216.5,4,0
svm_17,same_information_supervised,17.0,168,21,0.7607709750566893,0.31507581919754474,21,16,1,0.12034337544541626,499,127,371.5,4,0
xgboost_17,same_information_supervised,17.0,168,21,0.6572724327826369,0.2462174324164813,21,16,0,0.22384191771946874,821,130,691.0,4,0
catboost_17,same_information_supervised,17.0,168,21,0.706511175898931,0.2600426849553354,21,17,0,0.1746031746031746,661,122,539.0,4,1
catboost_29,same_information_supervised,29.0,168,21,0.6812439261418853,0.2786221954690704,21,15,0,0.1998704243602203,720,103,617.0,5,0
catboost_43,same_information_supervised,43.0,168,21,0.764172335600907,0.2922378437768962,21,16,0,0.11694201490119857,480,119,361.0,4,0
Red_original_42,domain_unsupervised,42.0,168,21,0.7518626498218335,0.2748464317264821,21,17,0,0.1292517006802721,648,249,399.0,4,1
Red_original_43,domain_unsupervised,43.0,168,21,0.6942014901198574,0.21281586079579898,21,15,0,0.18691286038224814,809,232,577.0,6,1
Red_original_44,domain_unsupervised,44.0,168,21,0.7159054097829607,0.23636238288592115,21,15,0,0.1652089407191448,742,232,510.0,5,0
raw_mask,untrained_phenotype_probe,,168,21,0.6177518626498218,0.14957043172064705,21,11,6,0.2633624878522838,1075,160,813.0,9,0
single_only,untrained_phenotype_probe,,168,21,0.3686426951733074,0.09690188489538663,21,5,0,0.5124716553287982,1774,192,1582.0,16,1
