method,positive_a,positive_b,negative_a,negative_b,PD_concordance,other_concordance,delta
P_frozen,MNS1,CWH41,CWH41,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNN2,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ROT2,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST5,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,DIE2,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG5,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG8,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG12,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG9,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG6,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG3,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ANP1,MNS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,BTS1,HMG1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,PCT1,PSD2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,VPS28,STP22,1.0,0.0,1.0
P_frozen,MNS1,CWH41,SEC22,TLG2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,STP22,DOA4,1.0,0.0,1.0
P_frozen,MNS1,CWH41,GCS1,DOA4,1.0,0.0,1.0
P_frozen,MNS1,CWH41,VPS28,DOA4,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST5,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG5,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG8,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG12,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG9,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG6,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG3,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,CWH41,1.0,0.0,1.0
P_frozen,MNS1,CWH41,UBC7,UFD2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,HRD1,UFD2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,TLG2,GOS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,SEC22,GOS1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,DOA4,GCS1,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,DIE2,ROT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG5,ROT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG8,ROT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG12,ROT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG9,ROT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG6,ROT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,ROT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,DOA4,VPS28,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,GCS1,VPS28,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNS1,OST5,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,CWH41,OST5,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ALG12,OST5,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ALG9,OST5,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,OST3,OST5,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNS1,DIE2,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,OST5,DIE2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,DIE2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,HRD1,UBC7,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNS1,ALG5,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,CWH41,ALG5,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST5,ALG5,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,ALG5,1.0,0.0,1.0
P_frozen,MNS1,CWH41,PMT2,PMT1,1.0,0.0,1.0
P_frozen,MNS1,CWH41,TLG2,SEC22,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNS1,ALG8,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ROT2,ALG8,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST5,ALG8,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG9,ALG8,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG6,ALG8,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,ALG8,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,ALG12,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ROT2,ALG9,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST5,ALG9,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,ALG9,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNS1,ALG6,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,OST5,ALG6,1.0,0.0,1.0
P_frozen,MNS1,CWH41,ALG12,ALG6,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,ALG6,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNS1,ALG3,1.0,0.0,1.0
P_frozen,MNS1,CWH41,CWH41,ALG3,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST5,ALG3,1.0,0.0,1.0
P_frozen,MNS1,CWH41,DIE2,ALG3,1.0,0.0,1.0
P_frozen,MNS1,CWH41,OST3,ALG3,1.0,0.0,1.0
P_frozen,MNS1,CWH41,PMT1,PMT2,1.0,0.0,1.0
P_frozen,MNS1,CWH41,MNS1,OST3,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ALG5,OST3,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ALG8,OST3,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ALG12,OST3,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ALG9,OST3,0.0,1.0,-1.0
P_frozen,MNS1,CWH41,ALG6,OST3,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,CWH41,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,MNN2,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ROT2,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST5,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,DIE2,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG5,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG8,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG12,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG9,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG6,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST3,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ANP1,MNS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,BTS1,HMG1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,PCT1,PSD2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,STP22,DOA4,1.0,0.0,1.0
P_frozen,ROT2,CWH41,GCS1,DOA4,1.0,0.0,1.0
P_frozen,ROT2,CWH41,VPS28,DOA4,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST5,CWH41,1.0,0.0,1.0
P_frozen,ROT2,CWH41,DIE2,CWH41,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG8,CWH41,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG12,CWH41,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG9,CWH41,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG6,CWH41,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST3,CWH41,1.0,0.0,1.0
P_frozen,ROT2,CWH41,UBC7,UFD2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,HRD1,UFD2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,TLG2,GOS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,SEC22,GOS1,1.0,0.0,1.0
P_frozen,ROT2,CWH41,CWH41,ROT2,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,OST5,ROT2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,DIE2,ROT2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG8,ROT2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG6,ROT2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST3,ROT2,1.0,0.0,1.0
P_frozen,ROT2,CWH41,CWH41,OST5,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,ALG12,OST5,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,ALG9,OST5,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,OST3,OST5,1.0,0.0,1.0
P_frozen,ROT2,CWH41,MNS1,DIE2,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,HRD1,UBC7,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST5,ALG5,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST3,ALG5,1.0,0.0,1.0
P_frozen,ROT2,CWH41,TLG2,SEC22,1.0,0.0,1.0
P_frozen,ROT2,CWH41,OST5,ALG8,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG12,ALG8,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,OST3,ALG8,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ROT2,ALG12,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,DIE2,ALG12,1.0,0.0,1.0
P_frozen,ROT2,CWH41,ALG5,ALG12,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,ALG9,ALG12,0.0,1.0,-1.0
P_frozen,ROT2,CWH41,OST3,ALG12,1.0,0.0,1.0
