family,seed,outer,pair,n_train,config,inner_auroc,inner_AP
catboost,17,0,CWH41|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.6880896226415095,0.32153036083067843
catboost,17,1,CWH41|ROT2,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.6826131687242798,0.32417553332092697
catboost,17,2,MNN2|MNS1,140,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7278225806451614,0.29506777989315036
catboost,17,3,ANP1|MNN2,162,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7638888888888888,0.3107264832384241
catboost,17,4,MNS1|ROT2,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7199292452830188,0.3110028111671461
catboost,17,5,STP22|VPS28,158,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7206521739130435,0.2912311830078736
catboost,17,6,BTS1|HMG1,166,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.6613013698630136,0.2447817634123778
catboost,17,7,ALG5|DIE2,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.8198198198198199,0.3261167430166485
catboost,17,8,ALG5|ALG8,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7399399399399399,0.2545001637182088
catboost,17,9,ALG5|ALG6,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7963963963963964,0.3405649197058487
catboost,17,10,ALG8|DIE2,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7480867346938777,0.2607134806699476
catboost,17,11,ALG9|DIE2,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.8046289993192648,0.3312723761855275
catboost,17,12,ALG8|ALG9,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.8025867937372362,0.35431599990229384
catboost,17,13,ALG12|ALG9,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7171171171171171,0.21001348898490746
catboost,17,14,ALG6|ALG9,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.8631722260040844,0.44192655010656823
catboost,17,15,ALG6|DIE2,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.8635204081632653,0.47314262944177854
catboost,17,16,ALG6|ALG8,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.8571428571428571,0.560136175682394
catboost,17,17,ALG12|ALG3,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7592592592592593,0.2986600094506787
catboost,17,18,ALG3|ALG9,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.639039039039039,0.1765352188370066
catboost,17,19,OST3|OST5,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7433962264150944,0.3572413085464743
catboost,17,20,ANP1|MNS1,140,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7278225806451614,0.29506777989315036
catboost,17,21,MNS1|OST5,122,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7446933962264151,0.3647802922253677
catboost,17,22,DIE2|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7438249823570925,0.29521335343842536
catboost,17,23,ALG5|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7175925925925926,0.30852117279172697
catboost,17,24,ALG8|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7085391672547636,0.32367243988048205
catboost,17,25,ALG12|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7526479750778816,0.26358551446307976
catboost,17,26,ALG9|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.6424242424242425,0.29086366506457667
catboost,17,27,ALG6|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7565278757939309,0.36300050074594253
catboost,17,28,ALG3|MNS1,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.64797507788162,0.23920255362867188
catboost,17,29,MNS1|OST3,122,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7022405660377359,0.30185424913082637
catboost,17,30,PCT1|PSD2,166,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7136288998357964,0.27099643428299236
catboost,17,31,DOA4|STP22,158,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7123188405797102,0.24470580897593164
catboost,17,32,GCS1|STP22,158,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.702536231884058,0.2608508743116109
catboost,17,33,GOS1|TLG2,162,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7078689631881121,0.27512187394817195
catboost,17,34,SEC22|TLG2,162,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7078689631881121,0.27512187394817195
catboost,17,35,DOA4|GCS1,158,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7438303788668752,0.30189747111155196
catboost,17,36,DOA4|VPS28,158,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7043478260869565,0.27822008284215527
catboost,17,37,CWH41|OST5,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.735082304526749,0.3621014087030867
catboost,17,38,CWH41|DIE2,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7135135135135136,0.2934758043171266
catboost,17,39,ALG5|CWH41,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.6670454545454546,0.2902764034701505
catboost,17,40,ALG8|CWH41,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.6882882882882884,0.30192138386535256
catboost,17,41,ALG12|CWH41,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7220723151645979,0.2594724869813494
catboost,17,42,ALG9|CWH41,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.6983418367346939,0.3538230988437834
catboost,17,43,ALG6|CWH41,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.7693693693693694,0.38499118017639516
catboost,17,44,ALG3|CWH41,126,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.6848354020507286,0.2790690184249767
catboost,17,45,CWH41|OST3,126,"{""depth"": 5, ""l2_leaf_reg"": 10.0}",0.6995884773662551,0.2890063662731881
catboost,17,46,UBC7|UFD2,162,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7304964539007093,0.28206383059863493
catboost,17,47,HRD1|UFD2,162,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7304964539007093,0.28206383059863493
catboost,17,48,GOS1|SEC22,162,"{""depth"": 5, ""l2_leaf_reg"": 1.0}",0.7078689631881121,0.27512187394817195
