scenario,level,family,n_seeds,error_mean,error_sd,auc_mean,auc_sd
B1,ideal,joint,3,0.060384114583333336,0.0039164093149466036,0.9876568467644536,0.0014651198929498078
B1,ideal,A_match,3,0.3096516927083333,0.009924048638729572,0.7258732878722488,0.010326262299651204
B1,ideal,A_rbf,3,0.3125813802083333,0.004981505840756142,0.7183990381139091,0.012945676378002936
B1,ideal,full_P_RBF,3,0.3125813802083333,0.004981505840756142,0.7183990381139091,0.012945676378002936
B1,noise1,joint,3,0.06453450520833333,0.0012043171050576797,0.9873801093643272,0.0009942749962160268
B1,noise1,A_match,3,0.322265625,0.00940179175486802,0.694298674610566,0.0028514986797724576
B1,noise1,A_rbf,3,0.3154296875,0.006190782389211898,0.6994162845966055,0.005365437676838326
B1,noise1,full_P_RBF,3,0.3130696614583333,0.008605163393333108,0.7055259395308018,0.007740817945914146
B1,noise2,joint,3,0.061197916666666664,0.0030913769390010708,0.9864058568367371,0.0015296705822097168
B1,noise2,A_match,3,0.312255859375,0.007831550259934298,0.7311123921260028,0.019211375482803255
B1,noise2,A_rbf,3,0.3121744791666667,0.007690752618054535,0.7356452940059027,0.018741020388666145
B1,noise2,full_P_RBF,3,0.3121744791666667,0.007690752618054535,0.7356452940059027,0.018741020388666145
B2,ideal,joint,3,0.16129557291666666,0.0054936161561646105,0.8896698145070826,0.021054949536458815
B2,ideal,A_match,3,0.161376953125,0.0056785660886782266,0.8850350288305971,0.017792929096350822
B2,ideal,A_rbf,3,0.16300455729166666,0.004286968486675109,0.8898572226844615,0.019686531252633182
B2,ideal,full_P_RBF,3,0.16341145833333334,0.003532313543979603,0.8867624024401382,0.02520238099489158
B2,noise1,joint,3,0.16243489583333334,0.006144070992245077,0.8680873100505901,0.005309312721230081
B2,noise1,A_match,3,0.16748046875,0.02117840768175961,0.8731199512604805,0.027606158442351793
B2,noise1,A_rbf,3,0.16015625,0.003686442595347046,0.8728243668765291,0.009659479950096425
B2,noise1,full_P_RBF,3,0.15950520833333334,0.0026892434312920416,0.8741337039104046,0.007543332922776302
B2,noise2,joint,3,0.16162109375,0.002960047766841343,0.8704426520279064,0.00666174693240035
B2,noise2,A_match,3,0.16170247395833334,0.003091376939001074,0.887769263866025,0.024512504750692953
B2,noise2,A_rbf,3,0.16162109375,0.001600937139722168,0.872354979377849,0.006132577153321343
B2,noise2,full_P_RBF,3,0.16064453125,0.001220703125,0.8739128406547882,0.006465470255373848
B3,ideal,joint,3,0.09757486979166667,0.012585285431134964,0.9700703796032024,0.004684667504024212
B3,ideal,A_match,3,0.16031901041666666,0.0016255683883006347,0.890873564765358,0.026122132531607237
B3,ideal,A_rbf,3,0.16105143229166666,0.006470110420019843,0.8788227469872355,0.019754600094343197
B3,ideal,full_P_RBF,3,0.15804036458333334,0.0033146829190130664,0.8842672788519089,0.012915249138187685
B4,ideal,joint,3,0.16121419270833334,0.005861070175791291,0.8858493267684587,0.014450714926272956
B4,ideal,A_match,3,0.16121419270833334,0.005861070175791291,0.8839945262636907,0.012614781457843144
B4,ideal,A_rbf,3,0.16129557291666666,0.0057842954570041846,0.8838524620220517,0.009737348627832149
B4,ideal,full_P_RBF,3,0.16129557291666666,0.0057842954570041846,0.8834920733832116,0.009206393428093025
B5,ideal,joint,3,0.08479817708333333,0.004915256793796059,0.9767196409083163,0.0015725136558181188
B5,ideal,A_match,3,0.16145833333333334,0.006470110420019843,0.8765752564570931,0.00198242162562616
B5,ideal,A_rbf,3,0.16080729166666666,0.005515273071242652,0.8811415732520174,0.0007711365258216397
B5,ideal,full_P_RBF,3,0.16080729166666666,0.005515273071242652,0.8919504531023729,0.01930480718700636
B6,ideal,joint,3,8.138020833333333e-05,0.0001409546555638735,0.9999999204797425,1.3773312617946028e-07
B6,ideal,A_match,3,0.00016276041666666666,0.0001409546555638735,0.9999996023987127,6.886656307931408e-07
B6,ideal,A_rbf,3,0.00016276041666666666,0.0001409546555638735,0.9999999204797425,1.3773312617946028e-07
B6,ideal,full_P_RBF,3,0.00016276041666666666,0.0001409546555638735,0.9999999204797425,1.3773312617946028e-07
