scenario,level,seed,comparison,fixed,broken,net_repair,error_gain
B1,ideal,17,full_P_RBF,1124,72,1052,0.2568359375
B1,ideal,17,A_match,1124,72,1052,0.2568359375
B1,ideal,17,A_rbf,1124,72,1052,0.2568359375
B1,noise1,17,full_P_RBF,1067,55,1012,0.2470703125
B1,noise1,17,A_match,1121,25,1096,0.267578125
B1,noise1,17,A_rbf,1067,55,1012,0.2470703125
B1,noise2,17,full_P_RBF,1096,102,994,0.24267578125
B1,noise2,17,A_match,1096,102,994,0.24267578125
B1,noise2,17,A_rbf,1096,102,994,0.24267578125
B1,ideal,29,full_P_RBF,1144,123,1021,0.249267578125
B1,ideal,29,A_match,1144,123,1021,0.249267578125
B1,ideal,29,A_rbf,1144,123,1021,0.249267578125
B1,noise1,29,full_P_RBF,1149,89,1060,0.2587890625
B1,noise1,29,A_match,1149,89,1060,0.2587890625
B1,noise1,29,A_rbf,1149,89,1060,0.2587890625
B1,noise2,29,full_P_RBF,1148,74,1074,0.26220703125
B1,noise2,29,A_match,1149,74,1075,0.262451171875
B1,noise2,29,A_rbf,1148,74,1074,0.26220703125
B1,ideal,43,full_P_RBF,1068,42,1026,0.25048828125
B1,ideal,43,A_match,1048,58,990,0.24169921875
B1,ideal,43,A_rbf,1068,42,1026,0.25048828125
B1,noise1,43,full_P_RBF,1047,65,982,0.23974609375
B1,noise1,43,A_match,1063,52,1011,0.246826171875
B1,noise1,43,A_rbf,1063,52,1011,0.246826171875
B1,noise2,43,full_P_RBF,1106,90,1016,0.248046875
B1,noise2,43,A_match,1106,90,1016,0.248046875
B1,noise2,43,A_rbf,1106,90,1016,0.248046875
B2,ideal,17,full_P_RBF,79,70,9,0.002197265625
B2,ideal,17,A_match,38,34,4,0.0009765625
B2,ideal,17,A_rbf,22,9,13,0.003173828125
B2,noise1,17,full_P_RBF,36,64,-28,-0.0068359375
B2,noise1,17,A_match,195,101,94,0.02294921875
B2,noise1,17,A_rbf,41,61,-20,-0.0048828125
B2,noise2,17,full_P_RBF,9,6,3,0.000732421875
B2,noise2,17,A_match,96,91,5,0.001220703125
B2,noise2,17,A_rbf,12,6,6,0.00146484375
B2,ideal,29,full_P_RBF,93,76,17,0.004150390625
B2,ideal,29,A_match,30,33,-3,-0.000732421875
B2,ideal,29,A_rbf,59,51,8,0.001953125
B2,noise1,29,full_P_RBF,0,0,0,0.0
B2,noise1,29,A_match,1,2,-1,-0.000244140625
B2,noise1,29,A_rbf,0,0,0,0.0
B2,noise2,29,full_P_RBF,17,30,-13,-0.003173828125
B2,noise2,29,A_match,0,0,0,0.0
B2,noise2,29,A_rbf,4,11,-7,-0.001708984375
B2,ideal,43,full_P_RBF,0,0,0,0.0
B2,ideal,43,A_match,0,0,0,0.0
B2,ideal,43,A_rbf,0,0,0,0.0
B2,noise1,43,full_P_RBF,5,13,-8,-0.001953125
B2,noise1,43,A_match,62,93,-31,-0.007568359375
B2,noise1,43,A_rbf,5,13,-8,-0.001953125
B2,noise2,43,full_P_RBF,18,20,-2,-0.00048828125
B2,noise2,43,A_match,18,22,-4,-0.0009765625
B2,noise2,43,A_rbf,18,17,1,0.000244140625
B3,ideal,17,full_P_RBF,317,37,280,0.068359375
B3,ideal,17,A_match,341,33,308,0.0751953125
B3,ideal,17,A_rbf,317,37,280,0.068359375
B3,ideal,29,full_P_RBF,293,35,258,0.06298828125
B3,ideal,29,A_match,293,35,258,0.06298828125
B3,ideal,29,A_rbf,332,37,295,0.072021484375
B3,ideal,43,full_P_RBF,236,31,205,0.050048828125
B3,ideal,43,A_match,236,31,205,0.050048828125
B3,ideal,43,A_rbf,236,31,205,0.050048828125
B4,ideal,17,full_P_RBF,0,0,0,0.0
B4,ideal,17,A_match,0,0,0,0.0
B4,ideal,17,A_rbf,0,0,0,0.0
B4,ideal,29,full_P_RBF,3,2,1,0.000244140625
B4,ideal,29,A_match,0,0,0,0.0
B4,ideal,29,A_rbf,3,2,1,0.000244140625
B4,ideal,43,full_P_RBF,0,0,0,0.0
B4,ideal,43,A_match,0,0,0,0.0
B4,ideal,43,A_rbf,0,0,0,0.0
B5,ideal,17,full_P_RBF,354,40,314,0.07666015625
B5,ideal,17,A_match,387,65,322,0.07861328125
B5,ideal,17,A_rbf,354,40,314,0.07666015625
B5,ideal,29,full_P_RBF,367,82,285,0.069580078125
B5,ideal,29,A_match,367,82,285,0.069580078125
B5,ideal,29,A_rbf,367,82,285,0.069580078125
B5,ideal,43,full_P_RBF,398,63,335,0.081787109375
B5,ideal,43,A_match,398,63,335,0.081787109375
B5,ideal,43,A_rbf,398,63,335,0.081787109375
B6,ideal,17,full_P_RBF,0,0,0,0.0
B6,ideal,17,A_match,0,0,0,0.0
B6,ideal,17,A_rbf,0,0,0,0.0
B6,ideal,29,full_P_RBF,0,0,0,0.0
B6,ideal,29,A_match,0,0,0,0.0
B6,ideal,29,A_rbf,0,0,0,0.0
B6,ideal,43,full_P_RBF,1,0,1,0.000244140625
B6,ideal,43,A_match,1,0,1,0.000244140625
B6,ideal,43,A_rbf,1,0,1,0.000244140625
