scenario,seed,level,family,errors,error_rate,n,correct,accuracy,auroc,average_precision,squared_loss,certification_M,risk_upper,additive_error_lower,classification_certified,B1_integer_rule,auc_lower,auc_correction,auc_certified
B1,17,ideal,joint,246,0.06005859375,4096,3850,0.93994140625,0.9859950182149645,0.9866746851216549,0.22078335746155037,30.0,0.08947776938413697,0.14092571541269328,True,True,0.9271550887156311,0.058839929499333345,False
B1,17,ideal,A_match,1298,0.31689453125,4096,2798,0.68310546875,0.7139510247661048,0.6990353763802182,0.9969504677247126,,,,,,,,
B1,17,ideal,A_rbf,1298,0.31689453125,4096,2798,0.68310546875,0.7141980396649658,0.6992439084667444,0.9882809157417424,,,,,,,,
B1,17,ideal,full_P_RBF,1298,0.31689453125,4096,2798,0.68310546875,0.7141980396649658,0.6992439084667444,0.9882809157417424,,,,,,,,
B1,17,noise1,joint,262,0.06396484375,4096,3834,0.93603515625,0.9862335930846574,0.9868849681723069,0.22385630361140726,30.0,0.09338401938413697,0.14092571541269328,True,True,0.9273949893079481,0.05883860377670933,False
B1,17,noise1,A_match,1358,0.33154296875,4096,2738,0.66845703125,0.6910094920019417,0.6415631059727434,0.9527656335981425,,,,,,,,
B1,17,noise1,A_rbf,1274,0.31103515625,4096,2822,0.68896484375,0.7056051258527113,0.6572277302747764,0.9251414064939198,,,,,,,,
B1,17,noise1,full_P_RBF,1274,0.31103515625,4096,2822,0.68896484375,0.7056051258527113,0.6572277302747764,0.9251414064939198,,,,,,,,
B1,17,noise2,joint,265,0.064697265625,4096,3831,0.935302734375,0.9866481174181734,0.9871862914650911,0.2224644367447532,30.0,0.09411644125913697,0.14092571541269328,True,True,0.9278093172437667,0.05883880017440667,False
B1,17,noise2,A_match,1259,0.307373046875,4096,2837,0.692626953125,0.7206816968032349,0.7053993208305562,0.9951894616627537,,,,,,,,
B1,17,noise2,A_rbf,1259,0.307373046875,4096,2837,0.692626953125,0.7210519665064469,0.7056550929277299,0.9906055515415786,,,,,,,,
B1,17,noise2,full_P_RBF,1259,0.307373046875,4096,2837,0.692626953125,0.7210519665064469,0.7056550929277299,0.9906055515415786,,,,,,,,
B1,29,ideal,joint,264,0.064453125,4096,3832,0.935546875,0.9882133148608794,0.9890665113972555,0.20590187369145044,30.0,0.09387230063413697,0.14092571541269328,True,True,0.9293601161853913,0.0588531986754881,False
B1,29,ideal,A_match,1285,0.313720703125,4096,2811,0.686279296875,0.7316718620443549,0.7214932884447681,0.9949689269196029,,,,,,,,
B1,29,ideal,A_rbf,1285,0.313720703125,4096,2811,0.686279296875,0.732923475760152,0.7239367087875733,0.9901948631990312,,,,,,,,
B1,29,ideal,full_P_RBF,1285,0.313720703125,4096,2811,0.686279296875,0.732923475760152,0.7239367087875733,0.9901948631990312,,,,,,,,
B1,29,noise1,joint,261,0.063720703125,4096,3835,0.936279296875,0.9879013282551318,0.9888805148302793,0.2173078483108859,30.0,0.09313987875913697,0.14092571541269328,True,True,0.9290359963239558,0.058865331931175886,False
B1,29,noise1,A_match,1321,0.322509765625,4096,2775,0.677490234375,0.6958128701860893,0.6619569737773081,0.9952306992547658,,,,,,,,
B1,29,noise1,A_rbf,1321,0.322509765625,4096,2775,0.677490234375,0.696570066293438,0.662872617327825,0.9937107074271653,,,,,,,,
B1,29,noise1,full_P_RBF,1321,0.322509765625,4096,2775,0.677490234375,0.6977458321998062,0.6643098898871947,0.9907633530404873,,,,,,,,
