scene_1,scene_2,channel,coordinate,n_each,mean_1,mean_2,std_1,std_2,KS_statistic
B2,B3,xp,0,12288,0.004459270672870888,-0.0002814804728983406,0.466376750913573,0.46517745326021237,0.00927734375
B2,B3,xp,1,12288,1.0,1.0,1.1620921067842596e-16,1.1653675546139132e-16,0.001220703125
B2,B3,xp,2,12288,0.9999999887046506,0.99999998582505,8.253638109400768e-08,3.014670437970751e-07,0.007975260416666685
B2,B3,xp,3,12288,0.3948102678571428,0.39208519345238085,0.3931176911069226,0.39309998497106624,0.004720052083333315
B2,B3,xp,4,12288,0.2833223612169617,0.28122489641176673,0.26836737212617706,0.26867816951234297,0.004720052083333315
B2,B3,xp,5,12288,0.2893546648591792,0.28704141217762763,0.2020428456310882,0.20288072338669685,0.005533854166666685
B2,B3,xp,6,12288,-0.19950050187852955,-0.200270790298085,0.5185373447865801,0.521323658889197,0.007975260416666685
B2,B3,xp,7,12288,0.12782118055555555,0.12644721137152778,0.21778463391780595,0.21706659166614356,0.00447591145833337
B2,B3,xd,0,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,1,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,2,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,3,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,4,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,5,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,6,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,7,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,8,12288,1.0,1.0,0.0,0.0,0.0
B2,B3,xd,9,12288,1.0,1.0,0.0,0.0,0.0
B2,B3,xd,10,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,11,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,12,12288,0.5,0.5,0.0,0.0,0.0
B2,B3,xd,13,12288,2.0,2.0,0.0,0.0,0.0
B2,B3,xd,14,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,15,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,16,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,17,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,18,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,19,12288,0.0,0.0,0.0,0.0,0.0
B2,B3,xd,20,12288,0.477592250072517,0.477592250072517,5.551115123125783e-17,5.551115123125783e-17,0.0
B2,B3,xd,21,12288,0.21963386759483738,0.21946358280990463,0.21352890534503158,0.21580313342285343,0.008219401041666685
B2,B3,xd,22,12288,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
B4,B5,xp,0,12288,0.00438178192993272,0.004113003288842342,0.4648761332153415,0.46093305503560494,0.01171875
B4,B5,xp,1,12288,1.0,1.0,1.166227985589531e-16,1.165754827143445e-16,0.0034993489583333356
B4,B5,xp,2,12288,0.9999999883054783,0.9999999868015056,6.720776071126163e-08,9.832836782131331e-08,0.01017252604166663
B4,B5,xp,3,12288,0.3953078497023809,0.3985537574404761,0.39188534714533174,0.39432192052295034,0.00984700520833326
B4,B5,xp,4,12288,0.2843955954805445,0.2851409098248315,0.26795847235899506,0.2689206093318211,0.00984700520833326
B4,B5,xp,5,12288,0.28918734822268893,0.28757593328148795,0.20260463176164747,0.20306119780453963,0.00504557291666663
B4,B5,xp,6,12288,-0.19825498505705805,-0.19614855464890404,0.5198967429194821,0.5255560636922936,0.01017252604166663
B4,B5,xp,7,12288,0.1263210720486111,0.12179768880208332,0.215665714909691,0.21312058121813476,0.01310221354166663
B4,B5,xd,0,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,1,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,2,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,3,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,4,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,5,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,6,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,7,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,8,12288,1.0,1.0,0.0,0.0,0.0
B4,B5,xd,9,12288,1.0,1.0,0.0,0.0,0.0
B4,B5,xd,10,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,11,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,12,12288,0.5,0.5,0.0,0.0,0.0
B4,B5,xd,13,12288,2.0,2.0,0.0,0.0,0.0
B4,B5,xd,14,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,15,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,16,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,17,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,18,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,19,12288,0.0,0.0,0.0,0.0,0.0
B4,B5,xd,20,12288,0.477592250072517,0.477592250072517,5.551115123125783e-17,5.551115123125783e-17,0.0
B4,B5,xd,21,12288,0.20305560240566148,0.20856205072679432,0.18909659738582352,0.19373297589683997,0.01611328125
B4,B5,xd,22,12288,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
